Episode 134	Average Score: 7.97 	Score 17.76
Episode 135	Average Score: 8.14 	Score 18.17
Episode 136	Average Score: 8.30 	Score 18.16
Episode 137	Average Score: 8.48 	Score 19.37
Episode 138	Average Score: 8.64 	Score 17.85
Episode 139	Average Score: 8.83 	Score 20.55
Episode 140	Average Score: 9.02 	Score 20.01
Episode 141	Average Score: 9.21 	Score 20.97
Episode 142	Average Score: 9.40 	Score 20.57
Episode 143	Average Score: 9.56 	Score 18.31
Episode 144	Average Score: 9.73 	Score 18.45
Episode 145	Average Score: 9.89 	Score 18.65
Episode 146	Average Score: 10.09 	Score 22.10
Episode 147	Average Score: 10.22 	Score 14.32
Episode 148	Average Score: 10.40 	Score 18.47
Episode 149	Average Score: 10.58 	Score 19.99
Episode 150	Average Score: 10.74 	Score 17.98
Episode 151	Average Score: 10.94 	Score 21.02
Episode 152	Average Score: 11.12 	Score 20.38
Episode 153	Average Score: 11.31 	Score 20.37
Episode 154	Average Score: 11.51 	Score 20.87
Episode 155	Average Score: 11.72 	Score 22.61
Episode 156	Average Score: 11.91 	Score 21.76
Episode 157	Average Score: 12.12 	Score 22.62
Episode 158	Average Score: 12.27 	Score 18.21
Episode 159	Average Score: 12.47 	Score 21.48
Episode 160	Average Score: 12.65 	Score 21.85
Episode 161	Average Score: 12.85 	Score 22.57
Episode 162	Average Score: 13.09 	Score 26.06
Episode 163	Average Score: 13.32 	Score 26.36
Episode 164	Average Score: 13.56 	Score 27.13
Episode 165	Average Score: 13.78 	Score 24.87
Episode 166	Average Score: 13.96 	Score 21.11
Episode 167	Average Score: 14.13 	Score 21.68
Episode 168	Average Score: 14.30 	Score 20.78
Episode 169	Average Score: 14.49 	Score 24.00
Episode 170	Average Score: 14.69 	Score 23.94
Episode 171	Average Score: 14.88 	Score 23.70
Episode 172	Average Score: 15.06 	Score 23.34
Episode 173	Average Score: 15.21 	Score 18.37
Episode 174	Average Score: 15.34 	Score 17.37
Episode 175	Average Score: 15.46 	Score 16.34
Episode 176	Average Score: 15.57 	Score 16.87
Episode 177	Average Score: 15.69 	Score 16.96
Episode 178	Average Score: 15.87 	Score 21.95
Episode 179	Average Score: 16.06 	Score 23.02
Episode 180	Average Score: 16.25 	Score 24.02
Episode 181	Average Score: 16.48 	Score 28.90
Episode 182	Average Score: 16.66 	Score 24.60
Episode 183	Average Score: 16.81 	Score 21.91
Episode 184	Average Score: 16.96 	Score 22.77
Episode 185	Average Score: 17.08 	Score 18.71
Episode 186	Average Score: 17.23 	Score 23.51
Episode 187	Average Score: 17.37 	Score 20.65
Episode 188	Average Score: 17.50 	Score 21.47
Episode 189	Average Score: 17.65 	Score 22.56
Episode 190	Average Score: 17.81 	Score 25.29
Episode 191	Average Score: 17.97 	Score 24.05
Episode 192	Average Score: 18.15 	Score 27.85
Episode 193	Average Score: 18.32 	Score 28.10
Episode 194	Average Score: 18.47 	Score 24.53
Episode 195	Average Score: 18.66 	Score 26.99
Episode 196	Average Score: 18.84 	Score 28.22
Episode 197	Average Score: 18.99 	Score 28.82
Episode 198	Average Score: 19.15 	Score 27.08
Episode 199	Average Score: 19.31 	Score 28.40
Episode 200	Average Score: 19.54 	Score 30.10
Episode 201	Average Score: 19.70 	Score 28.72
Episode 202	Average Score: 19.92 	Score 32.44
Episode 203	Average Score: 20.09 	Score 30.56
Episode 204	Average Score: 20.29 	Score 29.64
Episode 205	Average Score: 20.45 	Score 26.58
Episode 206	Average Score: 20.60 	Score 29.55
Episode 207	Average Score: 20.76 	Score 29.22
Episode 208	Average Score: 20.91 	Score 28.45
Episode 209	Average Score: 21.08 	Score 30.18
Episode 210	Average Score: 21.23 	Score 28.67
Episode 211	Average Score: 21.42 	Score 30.59
Episode 212	Average Score: 21.60 	Score 31.05
Episode 213	Average Score: 21.79 	Score 33.38
Episode 214	Average Score: 21.92 	Score 26.24
Episode 215	Average Score: 22.06 	Score 26.58
Episode 216	Average Score: 22.18 	Score 27.38
Episode 217	Average Score: 22.36 	Score 31.75
Episode 218	Average Score: 22.50 	Score 29.70
Episode 219	Average Score: 22.63 	Score 29.57
Episode 220	Average Score: 22.78 	Score 30.22
Episode 221	Average Score: 22.91 	Score 29.78
Episode 222	Average Score: 23.11 	Score 33.10
Episode 223	Average Score: 23.28 	Score 33.32
Episode 224	Average Score: 23.44 	Score 32.30
Episode 225	Average Score: 23.54 	Score 27.48
Episode 226	Average Score: 23.69 	Score 27.68
Episode 227	Average Score: 23.85 	Score 31.43
Episode 228	Average Score: 23.99 	Score 29.71
Episode 229	Average Score: 24.16 	Score 33.63
Episode 230	Average Score: 24.29 	Score 30.72
Episode 231	Average Score: 24.42 	Score 29.88
Episode 232	Average Score: 24.53 	Score 31.05
Episode 233	Average Score: 24.69 	Score 30.67
Episode 234	Average Score: 24.81 	Score 30.04
Episode 235	Average Score: 24.91 	Score 27.66
Episode 236	Average Score: 25.05 	Score 32.52
Episode 237	Average Score: 25.16 	Score 30.10
Episode 238	Average Score: 25.26 	Score 28.43
Episode 239	Average Score: 25.35 	Score 28.96
Episode 240	Average Score: 25.44 	Score 29.35
Episode 241	Average Score: 25.55 	Score 32.04
Episode 242	Average Score: 25.66 	Score 30.86
Episode 243	Average Score: 25.81 	Score 33.29
Episode 244	Average Score: 25.93 	Score 30.45
Episode 245	Average Score: 26.04 	Score 30.48
Episode 246	Average Score: 26.15 	Score 32.28
Episode 247	Average Score: 26.31 	Score 30.53
Episode 248	Average Score: 26.42 	Score 29.83
Episode 249	Average Score: 26.53 	Score 30.55
Episode 250	Average Score: 26.64 	Score 29.76
Episode 251	Average Score: 26.75 	Score 31.99
Episode 252	Average Score: 26.86 	Score 30.84
Episode 253	Average Score: 26.98 	Score 32.53
Episode 254	Average Score: 27.07 	Score 30.29
Episode 255	Average Score: 27.15 	Score 29.92
Episode 256	Average Score: 27.24 	Score 31.01
Episode 257	Average Score: 27.33 	Score 31.21
Episode 258	Average Score: 27.46 	Score 31.56
Episode 259	Average Score: 27.53 	Score 28.67
Episode 260	Average Score: 27.62 	Score 30.99
Episode 261	Average Score: 27.70 	Score 29.93
Episode 262	Average Score: 27.72 	Score 28.55
Episode 263	Average Score: 27.77 	Score 30.97
Episode 264	Average Score: 27.82 	Score 32.28
Episode 265	Average Score: 27.88 	Score 31.32
Episode 266	Average Score: 27.97 	Score 30.10
Episode 267	Average Score: 28.04 	Score 28.44
Episode 268	Average Score: 28.12 	Score 28.65
Episode 269	Average Score: 28.16 	Score 28.29
Episode 270	Average Score: 28.21 	Score 28.72
Episode 271	Average Score: 28.27 	Score 29.63
Episode 272	Average Score: 28.31 	Score 27.30
Episode 273	Average Score: 28.41 	Score 27.98
Episode 274	Average Score: 28.52 	Score 28.55
Episode 275	Average Score: 28.63 	Score 27.53
Episode 276	Average Score: 28.77 	Score 31.08
Episode 277	Average Score: 28.90 	Score 29.78
Episode 278	Average Score: 28.96 	Score 28.31
Episode 279	Average Score: 29.03 	Score 30.05
Episode 280	Average Score: 29.07 	Score 28.12
Episode 281	Average Score: 29.08 	Score 29.37
Episode 282	Average Score: 29.10 	Score 26.80
Episode 283	Average Score: 29.16 	Score 27.46
Episode 284	Average Score: 29.22 	Score 28.84
Episode 285	Average Score: 29.33 	Score 30.38
Episode 286	Average Score: 29.39 	Score 29.57
Episode 287	Average Score: 29.45 	Score 26.69
Episode 288	Average Score: 29.52 	Score 27.86
Episode 289	Average Score: 29.57 	Score 28.08
Episode 290	Average Score: 29.60 	Score 27.48
Episode 291	Average Score: 29.63 	Score 27.40
Episode 292	Average Score: 29.63 	Score 27.71
Episode 293	Average Score: 29.65 	Score 30.01
Episode 294	Average Score: 29.66 	Score 26.19
Episode 295	Average Score: 29.67 	Score 27.83
Episode 296	Average Score: 29.67 	Score 27.85
Episode 297	Average Score: 29.67 	Score 28.73
Episode 298	Average Score: 29.68 	Score 28.18
Episode 299	Average Score: 29.68 	Score 28.18
Episode 300	Average Score: 29.68 	Score 30.04
